FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
311789	1299.120833	4.166667	1.944184	
311790	1299.125000	4.166667	1.062689	
311791	1299.129167	4.166667	0.978605	
311792	1299.133333	4.166667	0.958867	
311793	1299.137500	4.166667	1.445999	
311794	1299.141667	4.166667	1.520608	
311795	1299.145833	4.166667	1.948526	
311796	1299.150000	4.166667	1.444420	
311797	1299.154167	4.166667	1.814703	
311798	1299.158333	4.166667	1.757068	
311799	1299.162500	4.166667	1.153878	
311800	1299.166667	4.166667	1.093875	
311801	1299.170833	4.166667	1.612982	
311802	1299.175000	4.166667	1.748384	
311803	1299.179167	4.166667	1.157036	
311804	1299.183333	4.166667	1.457447	
311805	1299.187500	4.166667	1.012554	
311806	1299.191667	4.166667	0.975052	
311807	1299.195833	4.166667	1.256910	
311808	1299.200000	4.166667	1.602718	
311809	1299.204167	4.166667	1.787859	
311810	1299.208333	4.166667	1.238356	
311811	1299.212500	4.166667	0.985711	
311812	1299.216667	4.166667	0.955709	
311813	1299.220833	4.166667	1.040582	
311814	1299.225000	4.166667	0.962025	
311815	1299.229167	4.166667	1.091111	
311816	1299.233333	4.166667	1.118744	
311817	1299.237500	4.166667	1.406128	
311818	1299.241667	4.166667	1.860495	
311819	1299.245833	4.166667	1.360731	
311820	1299.250000	4.166667	1.874706	
311821	1299.254167	4.166667	2.070111	
311822	1299.258333	4.166667	1.892470	
311823	1299.262500	4.166667	1.438104	
311824	1299.266667	4.166667	2.131299	
311825	1299.270833	4.166667	1.938657	
311826	1299.275000	4.166667	1.627982	
311827	1299.279167	4.166667	1.629956	
311828	1299.283333	4.166667	0.974263	
311829	1299.287500	4.166667	1.140061	
311830	1299.291667	4.166667	1.343757	
311831	1299.295833	4.166667	1.936683	
311832	1299.300000	4.166667	2.033794	
311833	1299.304167	4.166667	1.345730	
311834	1299.308333	4.166667	1.265989	
311835	1299.312500	4.166667	1.191380	
311836	1299.316667	4.166667	1.738120	
311837	1299.320833	4.166667	1.803255	
311838	1299.325000	4.166667	2.023925	
311839	1299.329167	4.166667	1.676538	
311840	1299.333333	4.166667	2.317230	
311841	1299.337500	4.166667	2.306177	
311842	1299.341667	4.166667	1.577453	
311843	1299.345833	4.166667	2.012082	
311844	1299.350000	4.166667	2.179854	
311845	1299.354167	4.166667	1.882601	
311846	1299.358333	4.166667	1.590480	
311847	1299.362500	4.166667	1.551794	
311848	1299.366667	4.166667	1.592454	
311849	1299.370833	4.166667	3.467555	
311850	1299.375000	4.166667	2.607772	
311851	1299.379167	4.166667	1.365863	
311852	1299.383333	4.166667	1.434946	
311853	1299.387500	4.166667	1.749963	
311854	1299.391667	4.166667	1.659563	
311855	1299.395833	4.166667	1.629561	
311856	1299.400000	4.166667	1.551005	
311857	1299.404167	4.166667	1.630746	
311858	1299.408333	4.166667	2.544611	
311859	1299.412500	4.166667	1.113218	
311860	1299.416667	4.166667	1.136903	
311861	1299.420833	4.166667	1.676538	
311862	1299.425000	4.166667	2.243805	
311863	1299.429167	4.166667	1.952868	
311864	1299.433333	4.166667	1.083216	
311865	1299.437500	4.166667	1.581006	
311866	1299.441667	4.166667	1.072952	
311867	1299.445833	4.166667	0.891759	
311868	1299.450000	4.166667	0.896890	
311869	1299.454167	4.166667	1.335072	
311870	1299.458333	4.166667	2.436447	
311871	1299.462500	4.166667	2.304598	
311872	1299.466667	4.166667	1.430603	
311873	1299.470833	4.166667	1.022818	
311874	1299.475000	4.166667	1.688775	
311875	1299.479167	4.166667	1.134140	
311876	1299.483333	4.166667	1.035450	
311877	1299.487500	4.166667	0.885048	
311878	1299.491667	4.166667	1.149930	
311879	1299.495833	4.166667	0.914260	
311880	1299.500000	4.166667	0.836887	
311881	1299.504167	4.166667	0.842019	
311883	1299.512500	8.333333	2.201171	1
311884	1299.516667	4.166667	1.487054	
311885	1299.520833	4.166667	1.776806	
311886	1299.525000	4.166667	1.466132	
311887	1299.529167	4.166667	1.040977	
311888	1299.533333	4.166667	1.760226	
311889	1299.537500	4.166667	1.149930	
311890	1299.541667	4.166667	0.934392	
311891	1299.545833	4.166667	0.883469	
311892	1299.550000	4.166667	0.903601	
311893	1299.554167	4.166667	0.948998	
311894	1299.558333	4.166667	0.844782	
311895	1299.562500	4.166667	0.820702	
311896	1299.566667	4.166667	1.136509	
311897	1299.570833	4.166667	2.351969	
311898	1299.575000	4.166667	2.403287	
311899	1299.579167	4.166667	1.473237	
311900	1299.583333	4.166667	1.783912	
311901	1299.587500	4.166667	1.417576	
311902	1299.591667	4.166667	0.902812	
311903	1299.595833	4.166667	0.949393	
311904	1299.600000	4.166667	0.864520	
311905	1299.604167	4.166667	0.994396	
311906	1299.608333	4.166667	0.895311	
311907	1299.612500	4.166667	0.908733	
311908	1299.616667	4.166667	0.971894	
311909	1299.620833	4.166667	2.265517	
311910	1299.625000	4.166667	2.334205	
311911	1299.629167	4.166667	1.953263	
311912	1299.633333	4.166667	1.145193	
311913	1299.637500	4.166667	2.052742	
311914	1299.641667	4.166667	1.144009	
311915	1299.645833	4.166667	1.033871	
311916	1299.650000	4.166667	0.963604	
311917	1299.654167	4.166667	1.380469	
311918	1299.658333	4.166667	2.328283	
311919	1299.662500	4.166667	2.539874	
311920	1299.666667	4.166667	1.853784	
311921	1299.670833	4.166667	2.009319	
311922	1299.675000	4.166667	1.013739	
311923	1299.679167	4.166667	0.933998	
311924	1299.683333	4.166667	1.005844	
311925	1299.687500	4.166667	1.085979	
311926	1299.691667	4.166667	1.019660	
311927	1299.695833	4.166667	1.178353	
311928	1299.700000	4.166667	1.155457	
311929	1299.704167	4.166667	1.225329	
311930	1299.708333	4.166667	1.112823	
311931	1299.712500	4.166667	1.820624	
311932	1299.716667	4.166667	2.574612	
311933	1299.720833	4.166667	2.055505	
311934	1299.725000	4.166667	1.054399	
311935	1299.729167	4.166667	0.954525	
311936	1299.733333	4.166667	1.907076	
311937	1299.737500	4.166667	1.023213	
311938	1299.741667	4.166667	1.001896	
311939	1299.745833	4.166667	0.876758	
311940	1299.750000	4.166667	1.018081	
